,,Louie the Italian Jew,Audio demonstration,15 May 2010,5.0 ,"This speaker has more bass than the Altec Lansing Music Speaker , which I also own. If you want to go that extra mile and spend a little more for a richer bass experience, I recommend this speaker."
,,Randall Paradiso,"Hardworking, Portable Speaker with Rich Sound",01 Jun 2016,5.0 ,"I needed an affordable, hardworking, portable speaker to use with my mobile electronic devices. After multiple searches, I decided to purchase this Altec Lansing iM227 Orbit MP3 Speaker . I have been absolutely pleased with the performance of this handy little speaker during my 5 years (and counting) of ownership! The speaker itself is lightweight, compact and easy to carry, sliding effortlessly into a tote bag for travel. I was genuinely surprised by the sound which emanates from the speaker. From an audiophile standpoint, the sound is surprisingly clear, with clear bass and treble tones. The rich sound generated is free from hiss, popping or static. Granted, it isn't going to have the sound of a large, powered speaker, but for the sake of portability, this thing is awesome! The male corded headphone jack plug, while on the short side, wraps conveniently around the underside of the speaker. The male end snaps into a clever slot, eliminating the possibilty of damage. Batteries are easy to replace. I have used both rechargable and regular batteries in this item with equal success. I get approximately 17 hours of use with rechargable batteries and around 19 hours of use with regular, better quality batteries. (Disregard the cheap ones shown in my product photo!) One caveat: the power button, located on the outside upper rim of the speaker, can be accidentally pushed to ""on"" when this speaker is traveling. I know from experience this will kill the batteries very quickly. My solution is to remove one battery and put in back into the unit going the wrong direction. When I arrive at my destination, I simply remove the backward battery and replace it in its proper direction."
,,Kevin K.,Works fine but the batteries that came with it were dead,09 Feb 2017,4.0 ,"The speaker sounds good. I plugged it into my Samsung S5 and there was no distortion at the highest volume, which I was happy about. The new batteries that were in it's original new seal were dead on arrival. Even with an expiration date of March 2018. I wasn't too happy about that. Good thing I had 3 AAA batteries of my own. The model number is confusing. Original sealed packaging say's it's the (IMT227), but the back of the speaker omits the ""T"". (IM227). Looks like they are the same thing, but are from two different production lines. In the description it say's it's an MP3 speaker for the IM227. This is why I didn't go to another seller who was selling the IMT227, because it didn't say MP3. It was $10 more here at $79 thinking I'm getting the MP3 version. They are both MP3. I feel like I was tricked by the description, and I could have saved $10 by going with the other seller if I had known this before. I feel like I'm being more than generous by giving this 4 stars."
,,russell,A source of confusion,28 Jun 2011,3.0 ,"I knew I wanted one of the Altec Orbits series speakers. The question was, which one? I had settled, for all the right reasons, on the IM-237. Or so I thought. When I actually went to purchase it I noted a window that said there was a newer model of the item. A newer model? The window suggested the IM-227. So the first odd thing, not many model numbers are retrogrades. Did it have different features? Was it improved? As it turns out the answer is much simpler. Altec found a way to make another buck or two by not including the case. Which is kind of drag because I think the case would actually be useful. Soundwise, the Altec IM-227 is a good value for $20 or so. It's not stereo, it's a single speaker. The tiny amplifier powered by three AAA batteries (which you supply) is fairly clean for what it is. Make no mistake, this is close listening device. You won't entertain others with this thing. It works at a desk, in a cubical or a small room with no background noise. I can see where it would be great for camping though I haven't checked the full length of the battery life claimed by Altec (24 hours). For a single driver speaker of this size the sound is rich, detailed and reasonably accurate (given the device). I think it's worth $20 if your needs match what this speaker does. Downsides: -The cord is short. I mean short. I'm talking seven inches of short. -It's very simply constructed of plastic. -It's not very cool looking. -Max volume isn't loud. -Power button gets turned accidentally if packed with other things (I pack mine without the batteries after learning this). -That skinny little cord is going to break and then this thing will be a throwaway (which is sad). Upsides: -It's cheap. -The sound is rich and reasonably accurate. -It's light. -It's small."
,,firebomb,A solid unit for compact aplications.,12 Aug 2015,4.0 ,"Pretty tough unit, so far I've had it buried under stuff in a backpack and the thing has very minimal discoloration and scratching, I keep it for grid failure or special situations where I need a sound boost. It offers pretty decent bass, and is better than my ipad and iphones built in speakers. It makes a difference. It's not my Sony Boom Box for sure, but it puts out when all else fails and uses easy to find batteries. Not a bad little unit, it won't fill up a noisy room, but it will make a clear loud statement wherever you're chilling with a decent amount of thump to the bass. The wire on it has held up too. my fear with any item that does not have a detachable cord is that it will fail and you're done. Good news is that's not the case, the thing has held up and still looks next to new months and months later after being lugged around outdoors in a backpack. If cost, portability, and easy to find batteries is your game along with decent sound this thing is your guy. Battery life is on point as well, outpreforms other units that take larger batteries, or are overall larger and outputs similar sound also giving you pretty good battery life. Space, battery life, sound quality ""slightly above medium on the quality bar"", is where it's at."
,,PWB Esq,"Small, Round and Amazing Sound",09 Jul 2012,5.0 ,"I bought these Altec Lansing iM237 Orbit ultra-portable speakers on 17 July 2011 for $22.90. I cannot believe they have gone up $24 in the ensuing year. I am not sure why they have gone up so much, nevertheless, they are excellent speakers. If I had not bought mine previously, I would have paid the $46.50 for which they are now selling. Why? Because they have rich sound with deep bass and nice treble. I am continually amazed at the sound that comes out of these speakers. The bass is rich and deep. I simply cannot believe that they are so small and pack such a punch. The treble is as good as the bass - I can hear the high tones as well as the bass. These speakers are small: about 2 inches high and 3 3/8 of an inch in diameter (it kind of looks like a big hockey puck). In addition, they are really quite simple: The speaker itself, a short 3.5 mm jack, and the On/Off button. That is all there is to these speakers. However, for such simplicity, they have amazing sound. They can easily fill up a 15x15 room and everyone would be able to hear the music playing with no problem. They will fit almost any place I want to sit them for play. This speaker is very loud. When I turn up my MP3 player all the way, it really blows me out of the room. It runs on 3 triple A batteries, which were included, placed in the bottom in a screw out base. I will have to say, I find it difficult to screw this cap back on once it is off. I am not sure why is unscrews so easily but is so difficult to get back on, but I have trouble in replacing this cap. It has an On/Off button on the side, with a green LED light to let me know that it is on (and draining the batteries). When the LED light turns red, I know that it is time to replace the batteries. This is quite a handy feature to have so I know when my batteries are dying. Otherwise, I would have to wait until the batteries actually died and then replace them - not a good scenario to be in with a dead speaker. The batteries last about 12 hours of continuous play. It has no volume control; rather you control the volume by the device it is hooked up to - be it an MP3 player, a computer or my smartphone or even a television if it has a 3.5 mm jack. This would be good if I have the gang over to watch the game and I wanted a speaker to fill the room. It comes with a gray case with the Altec Lansing logo on the top. The case is very foamy, and while it would not provide much protection in a drop, I do like putting it in the case after I am finished using it because it does protect it against dirt, water and other environmental factors. On the back of the case is a round loop with metal reinforcing it. It comes with a carabiner clip. I took this off simply because I didn't use it. Oh one thing I forgot to mention. On the side opposite the LED light, there is a slot that I can put a wrist strap on this unit. Over all, these speakers are excellent. I really enjoy using them - they have amazing sound, they are very simple and I can use them with a variety of devices."
,,Koko the Talking Ape,Sounds good when not howling (revised),26 Jun 2013,5.0 ,"This fellow is small, simple and cheap, all good things. When it works, it produces surprisingly good sound, loud enough to fill a room. It does not produce any bass at all, but for NPR or a little relaxation music while travelling, it is perfect, much better than the horrible clock radios in hotel rooms. It connects to anything with a 1/8"" socket, such as Android phones, most MP3 players and the little pocket FM radio that I was using. It doesn't even have a volume control; you use the control on your sound source. It doesn't have Bluetooth, but Bluetooth would cut battery life, add expense and possibly hurt the sound, without adding any real function. Not necessary. Unfortunately, it started making a loud static-y howling noise a few weeks after I bought it. It would start producing music fine, then after a few minutes, the howling would start. The howling would continue after you turned down the volume and even disconnected it. I would have to turn it off to make it stop. I eventually realized that the howling was caused by dying batteries. Replacing the batteries eliminates the problem. There is something weird about the amplification circuit that causes that, and it is something I have never seen in any of the dozens of pieces of electronics I have owned. It actually is a design flaw, but one that is easy to fix. Another small flaw is the silver paint, which will begin to scratch and wear off if it is tossed in your luggage. I have kept on the clear plastic sleeve it was shipped in, which looks fine. Some phones or small radios use the headphone cable as an FM antenna, and since this thing replaces the headphones and has only a eight-inch cord, you might need an extension cable to get good FM reception. (Of course, if you listen to MP3s, you won't need one.) All in all, a simple, effective, cheap product. I don't travel without it. It would also be great for laptop presentations, because it sounds better than laptop speakers or the speakers built into projectors."
,,Allen R. Beecham,Best sound when compared to 2 competitors.,03 Jul 2010,4.0 ,"Even though the internal speakers on my Sony Vaio notebook computer are decent, I sometimes need a little more volume and clarity. When the need arises, I usually whip out the ear-buds. But recently, I've been wanting to play some tunes on my computer at work where it's not convenient to wear ear-buds. Hence, the ""need"" for one of these portable mini-speakers. After reading the reviews on portable notebook/iPod/iPhone speakers, I narrowed my choice down to 3 products and ordered all 3. I thought that I would choose the best one, send the others back, and review them at the same time. So....my 3 choices were the X-Mini II Capsule Speaker , the iHome iHM60 Rechargeable Mini Speakers for iPod (Blue) , and the Altec Lansing iM-237 Orbit Ultraportable Speaker for MP3 Players (Silver) . I tested all 3 speakers with my Sony Vaio notebook, my iPhone 3Gs, and my 60-gig iPod. All 3 speakers worked with all 3 devices, and the rating results were comparable. One more thing: although 2 of the 3 speakers have USB charging cables, none of them are USB devices. The USB only charges the speaker; the sound is controlled via the headphone-out controls. 1) X-Mini II Capsule Speaker ---- This speaker is the most compact. I like the design, the lines, the feel, and the size. It just feels right. It looks like a little pill/capsule, and then springs open to reveal bellows that enhance the bass. The sound is focused and clear, but ranks #3 in loudness and bass quality. It is the only speaker of the 3 that I tested that has a volume control, but I really don't see the need for a volume control when the speaker is only 6 inches away from the sound source. It has a built-in speaker cord for when you want to run it on the internal rechargeable battery. There's also a combined USB charging/speaker cable....1 plug inserts into your computer USB port to charge the speaker battery, and the 2nd plug goes to the headphone-out on your computer (or iPod). So, if your speaker battery dies, just plug the 2 plugs into the computer and you're back up and running. If you're using the speaker to listen to your iPod or iPhone, you are out of luck if the speaker battery dies, unless you have a USB power source nearby. Unfortunately, both the attached speaker cable and the combined USB charging/speaker cable are very flimsy. It also has a speaker-out jack, which allows you to daisy-chain speakers together. Not really a huge selling point, since people tend to buy these speakers because they are small and compact...so who wants to carry 2 with them? But I suppose it does allow for more flexibiity, athough daisy-chaining 2-3 of these little guys together just doesn't make good financial sense. So, just like the volume control, the speaker-out jack is a non-issue to me. Also comes with a little carrying bag made of felt material. Pros --- Looks and feels right. Small/compact. Decent sound, considering it's size. Rechargeable battery. Option of using built-in cable or combined USB charging/speaker cable. Cons --- Worst performance in terms of loudness and bass (but still not bad). Flimsy cables. 2) iHome iHM60 Rechargeable Mini Speakers for iPod (Blue) ---- This speaker is very similar to the X-Mini II above. The major differences: it's larger than the X-Mini and doesn't look as ""polished"". It doesn't have a volume control, but who needs one anyway? It doesn't have a built-in cable....it only has a USB charging/speaker cable....but it's MUCH sturdier than the cable on the X-Mini. The sound is louder and fuller, with more pronounced bass.....probably because the diameter is bigger and the bellows are longer. Comes with a medium-heavy duty black carrying bag, which is more substantial than the felt used for the X-Mini II bag. Also has a speaker-out jack, just like the X-Mini II, for daisy-chaining speakers together. Pros --- Ranks #2 in loudness and bass. Small/compact. Rechargeable battery. Sturdy cable. Nicer carrying bag. $10 cheaper than the X-Mini. Cons --- Less ""polished"" look/feel. Not as small as the X-Mini. No built-in speaker cable, so you MUST use the more bulky USB charging/speaker cable. 3) Altec Lansing iM-237 Orbit Ultraportable Speaker for MP3 Players (Silver) --- This speaker is the largest, but weighs about the same as the IHome. It has NO USB charging cable....just a built-in speaker cable. It ONLY runs on 3 AAA batteries. I haven't used it long enough to test the battery life. The carrying case is a deluxe zippered case that really protects the speaker. It also includes a lanyard for the speaker and a little caribiner clip for the case. The sound clearly out-classes the other 2 in loudness, clarity, and bass. Pros --- Best sound of the 3. Uses 3 AAA batteries (no rechargeable battery to die on you). Built-in speaker cable. Very nice carrying case. Cons --- Largest of the 3. Uses 3 AAA batteries (rechargeable battery is convenient, but they often die.) Flimsy built-in speaker cable. So.....which one am I keeping? That's a good question. I'm DEFINITELY returning the X-Mini II. It performed the worst of the 3, it has flimsy cables, and it costs as much as the Altec. Although the iHome requires that you use the bulkier combo-cord, it sounds better and costs $10 less than the X-Mini II. No-brainer. How about the Altec? It sounds the best, but has some limitations. I might keep BOTH the Altec and the iHome. But I'm DEFINITELY keeping the iHome, which is the all-around winner in this speaker shoot-out when you compare sound, price, and features. A couple more remarks. The iHome packaging is maddening. The speaker is wire-tied into the package, making it extremely difficult to remove. I ended up essentially destroying the packaging in order to remove the speaker. But perhaps iHome did that on purpose, so as to discourage returns. Very annoying, but not a deal-breaker. Also, the iHome's cable has a hard plastic clip attached that is supposed to be used as a wire-tie. I have very good manual dexterity, but I was unable to fold the cable back up and clip it back together. Nice try, iHome, but the velcro cable-tie of the X-Mini II is a much better design.....too bad they decided to include such a flimsy cable. I hope this review helps you in your purchase of a portable speaker for your notebook computer or iPod/iPhone. Be sure to check out my VIDEO REVIEW, which includes sound bytes from all 3 speakers. It is located here: iHome iHM60 Rechargeable Mini Speakers for iPod (Blue) ."
,,Greg,Altec Lansing iM227 Orbit compared to iHome IM60.,11 Jan 2018,4.0 ,"I bought the Altec Lansing iM227 Orbit, and the iHome IM60. The Altec Lansing uses three AAA batteries (not 2 like the specs say), and the iHome is USB rechargeable. Here is my comparison of them. The Altec Lansing was running of Vista at 50% volume, and the iHome was driven off Windows 10 at 100% volume. I use the Altec Lansing at home where AAA batteries are easy to come by, and the iHome at work, where they aren't."
,,J,Big in size and sound,19 Apr 2012,5.0 ,"Decided on this over the X-Mini II (which my daughter owns and is a decent speaker), and the iHome iHM60GT. Had first hand experience with the X-Mini and played with the iHome in a local store. However, as good as they sounded, they just didn't have enough ""oomph"" for me. Although certainly acceptable, they were both a tad too flat and generic for my tastse. They are certainly suitable for a dorm room, work desk, or night stand. After researching, the general consensus seemed to be that the Altec Lansing had the best sound, so I bought it, based strictly on the reviews of my fellow Amazon reviewers, without first hearing it, so I didn't know what to expect. When it arrived, it was a lot larger than I expected. I knew it was larger than the other two based on reviews, however, I was still a bit surprised after seeing it in person the first time. After slicing through the frustration-full packaging (Altec's blister pack, not the Amazon packing), with a box cutter, I popped in three AAA batteries (not included) and connected it to my iPod Classic. I've owned it for about a month and have to say I like it. I rate it five stars compared to similar devices (like the X-Mini and iHome), not higher-end iPod music docks or other more capable products. This is perfect for the same tasks as the other two: dorm rooms, office desks, nightstand (although most would likely prefer more performance, like a dock with alarm clock capabilities). So far, I've played every genre of music imaginable except Classic. I've played Jay-Z, Rammstein, The Yellowjackets, Fourplay, Mark Ronson, LMFAO.... All of it sounded pretty good for such a (large) tiny speaker. It's perfect for lazy evenings on the back porch with a cigar, a beverage and an MP3 player loaded with every album imaginable. Well, that's MY perfect (and usual) scenario, but any situation where you need a nice moderate music player without too much ruckus yet decently deep lows and crisp highs, this will do it. If you need a room-filler for small parties or gatherings, get something louder."
